Time(UTCG),SatName,X,Y,Z,VX,VY,VZ
12:00:00.000,LEO_SAT_1,6921.072000000001,0.0,0.0,0.0,4.569432514802202,6.063841756512191
12:00:00.000,LEO_SAT_2,4895.3693323736,2946.106808099875,3909.615783629577,-5.363523249413293,3.232413736169774,4.289557909918781
12:00:00.000,LEO_SAT_3,1.6214585931307711e-09,4169.370311022911,5532.941280660833,-7.585167321424171,0.0045648676482229,0.0060577839739543
12:00:00.000,LEO_SAT_4,-4902.297328907915,2950.276180496591,3915.148727678044,-5.363523249415134,-3.223284000874354,-4.277442341972232
12:00:00.000,LEO_SAT_5,-6934.928,3.231902612396627e-12,2.034804453222686e-12,-3.9018394745909516e-15,-4.560302779507893,-6.051726188567113
12:00:00.000,LEO_SAT_6,-4902.297328912374,-2950.276180493914,-3915.148727674493,5.363523249410259,-3.223284000877288,-4.277442341976122
12:00:00.000,LEO_SAT_7,1.622175746850756e-09,-4169.370311022911,-5532.941280660833,7.585167321424171,0.004564867648222,0.006057783973958
12:00:00.000,LEO_SAT_8,4895.36933236705,-2946.106808103811,-3909.615783634797,5.363523249420473,3.232413736165451,4.289557909913047
12:00:00.000,LEO_SAT_9,-3460.536053751068,5993.824142387972,8.236488366038072e-05,-3.957244582183417,-2.284716355286044,6.063841756512187
12:00:00.000,LEO_SAT_10,-4999.088006940711,2766.460651242263,3909.615884543065,-0.1175906448858832,-6.261154334270406,4.289557799354712
12:00:00.000,LEO_SAT_11,-3610.780480680402,-2084.685374529354,5532.94128066083,3.788630513814468,-6.571229943054091,0.0060575628386588
12:00:00.000,LEO_SAT_12,-103.8652732713683,-5720.652215127941,3915.148584743913,5.473207457363792,-3.033305159085891,-4.2774424983541
12:00:00.000,LEO_SAT_13,3467.463923832315,-6005.823865391438,0.0001167147373215,3.949338135925348,2.280151251323721,-6.051726188567113
12:00:00.000,LEO_SAT_14,5006.162788404332,-2770.375742910784,-3915.148858108651,0.1096840213199175,6.256589488976817,-4.277442199270238
12:00:00.000,LEO_SAT_15,3610.780491716086,2084.685355415024,-5532.941280660832,-3.796537083649895,6.5666650822197,0.0060579858074213
12:00:00.000,LEO_SAT_16,103.7184894517784,5712.56770775277,-3909.615640950888,-5.481114039780129,3.02874029104262,4.289558066242089
12:00:00.000,LEO_SAT_17,-3460.536053751092,-5993.824142387969,-8.236489127736245e-05,3.957244582183412,-2.284716355286065,6.063841756512195
12:00:00.000,LEO_SAT_18,103.7184484182081,-5712.567730460461,3909.615608859961,5.481114040681778,3.028740239614576,4.289558101401953
12:00:00.000,LEO_SAT_19,3610.780491745643,-2084.68535536383,5532.941280660832,3.79653708361621,6.566665082239183,0.0060579857557567
12:00:00.000,LEO_SAT_20,5006.162782755046,2770.376054060528,3915.148645161333,-0.1096843190197148,6.25658932447493,-4.277442432252413
12:00:00.000,LEO_SAT_21,3467.4640538587,6005.823790320676,8.252978527632622e-05,-3.949337999488709,2.280151487638908,-6.051726188567112
12:00:00.000,LEO_SAT_22,-103.8652733070012,5720.652215108227,-3915.148584771786,-5.473207457363001,-3.033305159130389,-4.277442498323635
12:00:00.000,LEO_SAT_23,-3610.780607124417,2084.685155521936,-5532.941280660836,-3.788630369371647,-6.57123002612849,0.0060577839619749
12:00:00.000,LEO_SAT_24,-4999.08799891003,-2766.461093553132,-3909.615581830574,0.1175910692634039,-6.261154099076682,4.289558131016216
12:00:00.000,MEO_SAT_1,26114.22,0.0,0.0,0.0,2.252072392278428,3.216292698071383
12:00:00.000,MEO_SAT_2,-13057.10999999998,22615.57792001565,-5.2394104906256236e-12,-1.950351902874713,-1.126036196139213,3.216292698071384
12:00:00.000,MEO_SAT_3,-13057.11074683191,-22615.57748883202,-0.0012315880255504,1.950351790556473,-1.126036390680105,3.216292698071376
12:01:00.000,LEO_SAT_1,6906.078885273255,273.9680412940847,363.566834256622,-0.499588455726917,4.559537139700592,6.050663406772022
12:01:00.000,LEO_SAT_2,4563.21857349067,3133.550536968724,4158.337777720229,-5.704158165632772,3.013476708206292,3.998203040485651
12:01:00.000,LEO_SAT_3,-454.7838408898871,4160.678734538681,5521.374367826584,-7.568859519297371,-0.2941710862969429,-0.3914705985354707
12:01:00.000,LEO_SAT_4,-5213.334678199199,2750.67271118058,3650.243367239993,-5.000661158038855,-3.427784125954386,-4.549567933713862
12:01:00.000,LEO_SAT_5,-6919.994335500265,-273.4217681283687,-362.8422020389688,0.4976098930583692,-4.550483763361224,-6.038659250513401
12:01:00.000,LEO_SAT_6,-4570.174428780737,-3137.190158218394,-4163.168127383989,5.703262447421602,-3.004953205779898,-3.986905518252181
12:01:00.000,LEO_SAT_7,454.7839358358624,-4160.129994032164,-5520.646228162159,7.568860470663711,0.3033458455197854,0.40364395107819
12:01:00.000,LEO_SAT_8,5206.37449453142,-2745.937922065358,-3643.960042135511,4.999555889090915,3.43749339644586,4.562454043872333
12:01:00.000,LEO_SAT_9,-3690.302335591998,5843.855394761001,363.5670434706178,-3.698865853107546,-2.712434869761816,6.050667334905519
12:01:00.000,LEO_SAT_10,-4995.343310896552,2385.0879295375,4158.33791573727,0.2423430624573968,-6.446679528646394,3.998204415705437
